n_layers,d_model (width),direction,type,FLOPS
1,128,FW,Full,2080825344
2,128,FW,Full,3272007680
3,128,FW,Full,4463190016
4,128,FW,Full,5654372352
5,128,FW,Full,6845554688
6,128,FW,Full,8036737024
7,128,FW,Full,9227919360
8,128,FW,Full,10419101696
9,128,FW,Full,11610284032
10,128,FW,Full,12801466368
20,128,FW,Full,24713289728
30,128,FW,Full,36625113088
1,256,FW,Full,4762034176
2,256,FW,Full,7765155840
3,256,FW,Full,10768277504
4,256,FW,Full,13771399168
5,256,FW,Full,16774520832
6,256,FW,Full,19777642496
7,256,FW,Full,22780764160
8,256,FW,Full,25783885824
9,256,FW,Full,28787007488
10,256,FW,Full,31790129152
20,256,FW,Full,61821345792
30,256,FW,Full,91852562432
1,512,FW,Full,12137717760
2,512,FW,Full,20777984000
3,512,FW,Full,29418250240
4,512,FW,Full,38058516480
5,512,FW,Full,46698782720
6,512,FW,Full,55339048960
7,512,FW,Full,63979315200
8,512,FW,Full,72619581440
9,512,FW,Full,81259847680
10,512,FW,Full,89900113920
20,512,FW,Full,176302776320
30,512,FW,Full,262705438720
1,1024,FW,Full,34942148608
2,1024,FW,Full,62909767680
3,1024,FW,Full,90877386752
4,1024,FW,Full,118845005824
5,1024,FW,Full,146812624896
6,1024,FW,Full,174780243968
7,1024,FW,Full,202747863040
8,1024,FW,Full,230715482112
9,1024,FW,Full,258683101184
10,1024,FW,Full,286650720256
20,1024,FW,Full,566326910976
30,1024,FW,Full,846003101696
1,2048,FW,Full,112763265024
2,2048,FW,Full,211597844480
3,2048,FW,Full,310432423936
4,2048,FW,Full,409267003392
5,2048,FW,Full,508101582848
6,2048,FW,Full,606936162304
7,2048,FW,Full,705770741760
8,2048,FW,Full,804605321216
9,2048,FW,Full,903439900672
10,2048,FW,Full,1002274480128
20,2048,FW,Full,1990620274688
30,2048,FW,Full,2978966069248
1,4096,FW,Full,397254516736
2,4096,FW,Full,766672035840
3,4096,FW,Full,1136089554944
4,4096,FW,Full,1505507074048
5,4096,FW,Full,1874924593152
6,4096,FW,Full,2244342112256
7,4096,FW,Full,2613759631360
8,4096,FW,Full,2983177150464
9,4096,FW,Full,3352594669568
10,4096,FW,Full,3722012188672
20,4096,FW,Full,7416187379712
30,4096,FW,Full,11110362570752
1,128,BW,Full,5321375744
2,128,BW,Full,7703740416
3,128,BW,Full,10086105088
4,128,BW,Full,11308744704
5,128,BW,Full,14850834432
6,128,BW,Full,17233199104
7,128,BW,Full,19615563776
8,128,BW,Full,21997928448
9,128,BW,Full,24380293120
10,128,BW,Full,26762657792
20,128,BW,Full,50586304512
30,128,BW,Full,74409951232
1,256,BW,Full,11843518464
2,256,BW,Full,17849761792
3,256,BW,Full,23856005120
4,256,BW,Full,27542798336
5,256,BW,Full,35868491776
6,256,BW,Full,41874735104
7,256,BW,Full,47880978432
8,256,BW,Full,53887221760
9,256,BW,Full,59893465088
10,256,BW,Full,65899708416
20,256,BW,Full,125962141696
30,256,BW,Full,186024574976
1,512,BW,Full,28914335744
2,512,BW,Full,46194868224
3,512,BW,Full,63475400704
4,512,BW,Full,76117032960
5,512,BW,Full,98036465664
6,512,BW,Full,115316998144
7,512,BW,Full,132597530624
8,512,BW,Full,149878063104
9,512,BW,Full,167158595584
10,512,BW,Full,184439128064
20,512,BW,Full,357244452864
30,512,BW,Full,530049777664
1,1024,BW,Full,79162097664
2,1024,BW,Full,135097335808
3,1024,BW,Full,191032573952
4,1024,BW,Full,237690011648
5,1024,BW,Full,302903050240
6,1024,BW,Full,358838288384
7,1024,BW,Full,414773526528
8,1024,BW,Full,470708764672
9,1024,BW,Full,526644002816
10,1024,BW,Full,582579240960
20,1024,BW,Full,1141931622400
30,1024,BW,Full,1701284003840
1,2048,BW,Full,244082130944
2,2048,BW,Full,441751289856
3,2048,BW,Full,639420448768
4,2048,BW,Full,818534006784
5,2048,BW,Full,1034758766592
6,2048,BW,Full,1232427925504
7,2048,BW,Full,1430097084416
8,2048,BW,Full,1627766243328
9,2048,BW,Full,1825435402240
10,2048,BW,Full,2023104561152
20,2048,BW,Full,3999796150272
30,2048,BW,Full,5976487739392
1,4096,BW,Full,831620235264
2,4096,BW,Full,1570455273472
3,4096,BW,Full,2309290311680
4,4096,BW,Full,3011014148096
5,4096,BW,Full,3786960388096
6,4096,BW,Full,4525795426304
7,4096,BW,Full,5264630464512
8,4096,BW,Full,6003465502720
9,4096,BW,Full,6742300540928
10,4096,BW,Full,7481135579136
20,4096,BW,Full,14869485961216
30,4096,BW,Full,22257836343296
1,128,FW,det_top_k k=256,2148854252
2,128,FW,det_top_k k=256,3408065497
3,128,FW,det_top_k k=256,4667276741
4,128,FW,det_top_k k=256,5926487986
5,128,FW,det_top_k k=256,7185699230
6,128,FW,det_top_k k=256,8444910475
7,128,FW,det_top_k k=256,9704121719
8,128,FW,det_top_k k=256,10963332964
9,128,FW,det_top_k k=256,12222544208
10,128,FW,det_top_k k=256,13481755453
20,128,FW,det_top_k k=256,26073867897
30,128,FW,det_top_k k=256,38665980342
1,256,FW,det_top_k k=256,4629919143
2,256,FW,det_top_k k=256,7500925775
3,256,FW,det_top_k k=256,10371932406
4,256,FW,det_top_k k=256,13242939037
5,256,FW,det_top_k k=256,16113945669
6,256,FW,det_top_k k=256,18984952300
7,256,FW,det_top_k k=256,21855958931
8,256,FW,det_top_k k=256,24726965562
9,256,FW,det_top_k k=256,27597972194
