steps,profiled_steps,batch,k,input_dim,output_dim,mean runtime_jit (ms),mean runtime_nojit (ms),mean runtime_full (ms)
1000,0,1,64,64,64,0.35075199604034424,0.4721600115299225,0.07283200323581696
1000,0,1,64,64,128,0.37510401010513306,0.428384006023407,0.07072000205516815
1000,0,1,64,64,256,0.34832000732421875,0.4253759980201721,0.07046400010585785
1000,0,1,64,64,512,0.46911999583244324,0.551360011100769,0.09504000097513199
1000,0,1,64,64,1024,0.3638400137424469,0.40780800580978394,0.07065600156784058
1000,0,1,64,64,2048,0.47094398736953735,0.5464320182800293,0.09424000233411789
1000,0,1,64,128,64,0.6295679807662964,0.5361279845237732,0.0944959968328476
1000,0,1,64,128,128,0.45580801367759705,0.5485759973526001,0.09593600034713745
1000,0,1,64,128,256,0.3461120128631592,0.42719998955726624,0.0716480016708374
1000,0,1,64,128,512,0.4580479860305786,0.5634880065917969,0.0936959981918335
1000,0,1,64,128,1024,0.47043201327323914,0.5288959741592407,0.1098880022764206
1000,0,1,64,128,2048,0.47088000178337097,0.5290560126304626,0.09487999975681305
1000,0,1,64,256,64,0.3680320084095001,0.40560001134872437,0.07081600278615952
1000,0,1,64,256,128,0.3543680012226105,0.4366399943828583,0.07196799665689468
1000,0,1,64,256,256,0.36419200897216797,0.4062719941139221,0.07238399982452393
1000,0,1,64,256,512,0.35395199060440063,0.4344319999217987,0.07267200201749802
1000,0,1,64,256,1024,0.47699201107025146,0.5544319748878479,0.09497600048780441
1000,0,1,64,256,2048,0.35679998993873596,0.4405759871006012,0.08640000224113464
1000,0,1,64,512,64,0.46345600485801697,0.5532479882240295,0.09491200000047684
1000,0,1,64,512,128,0.4883840084075928,0.5401279926300049,0.09536000341176987
1000,0,1,64,512,256,0.5167359709739685,0.5573760271072388,0.09436800330877304
1000,0,1,64,512,512,0.4654400050640106,0.5332480072975159,0.11708799749612808
1000,0,1,64,512,1024,0.4792639911174774,0.5335040092468262,0.09487999975681305
1000,0,1,64,512,2048,0.3547520041465759,0.43321600556373596,0.07289600372314453
1000,0,1,64,1024,64,0.3489919900894165,0.43084800243377686,0.07280000299215317
1000,0,1,64,1024,128,0.35676801204681396,0.7251200079917908,0.0979200005531311
1000,0,1,64,1024,256,0.5593600273132324,0.555679976940155,0.0963520035147667
1000,0,1,64,1024,512,0.700160026550293,0.4774079918861389,0.07516799867153168
1000,0,1,64,1024,1024,0.3734399974346161,0.41305598616600037,0.0735040009021759
1000,0,1,64,1024,2048,0.477728009223938,0.5977920293807983,0.10409600287675858
1000,0,1,64,2048,64,0.3760960102081299,0.4299840033054352,0.07251200079917908
1000,0,1,64,2048,128,0.37376001477241516,0.41574400663375854,0.07308799773454666
1000,0,1,64,2048,256,0.37007999420166016,0.4113599956035614,0.07209599763154984
1000,0,1,64,2048,512,0.3726400136947632,0.4142720103263855,0.07292799651622772
1000,0,1,64,2048,1024,0.392767995595932,0.4567680060863495,0.0894400030374527
1000,0,1,64,2048,2048,0.40646401047706604,0.43321600556373596,0.1367039978504181
1000,0,1,256,256,64,0.36928001046180725,0.41331198811531067,0.07056000083684921
1000,0,1,256,256,128,0.4862079918384552,0.5452160239219666,0.09593600034713745
1000,0,1,256,256,256,0.4731839895248413,0.5326079726219177,0.11526399850845337
1000,0,1,256,256,512,0.40675199031829834,0.4166080057621002,0.0713919997215271
1000,0,1,256,256,1024,0.4910399913787842,0.5651839971542358,0.18860800564289093
1000,0,1,256,256,2048,0.3949440121650696,0.4185279905796051,0.07311999797821045
1000,0,1,256,512,64,0.420960009098053,0.41942399740219116,0.07215999811887741
1000,0,1,256,512,128,0.35340800881385803,0.41808000206947327,0.0713919997215271
1000,0,1,256,512,256,0.35308799147605896,0.4166080057621002,0.0899839997291565
1000,0,1,256,512,512,0.35257598757743835,0.43196800351142883,0.07209599763154984
1000,0,1,256,512,1024,0.4752959907054901,0.5294399857521057,0.09382399916648865
1000,0,1,256,512,2048,0.35417601466178894,0.438400000333786,0.07168000191450119
1000,0,1,256,1024,64,0.35206401348114014,0.4314880073070526,0.07199999690055847
1000,0,1,256,1024,128,0.3678080141544342,0.41673600673675537,0.07203199714422226
1000,0,1,256,1024,256,0.3474240005016327,0.4312640130519867,0.07129599899053574
1000,0,1,256,1024,512,0.3524479866027832,0.41440001130104065,0.07091200351715088
1000,0,1,256,1024,1024,0.3680320084095001,0.43244799971580505,0.07171200215816498
1000,0,1,256,1024,2048,0.39401599764823914,0.4845759868621826,0.095551997423172
1000,0,1,256,2048,64,0.3719039857387543,0.43404799699783325,0.0703359991312027
1000,0,1,256,2048,128,0.3523840010166168,0.4451200067996979,0.07212799787521362
1000,0,1,256,2048,256,0.35395199060440063,0.43030399084091187,0.07241600006818771
1000,0,1,256,2048,512,0.35868799686431885,0.4387199878692627,0.07369600236415863
1000,0,1,256,2048,1024,0.48870399594306946,0.574944019317627,0.1459839940071106
1000,0,1,256,2048,2048,0.5554239749908447,0.5663359761238098,0.13782399892807007
1000,0,2,64,64,64,0.3940480053424835,0.42214399576187134,0.07478400319814682
1000,0,2,64,64,128,0.35679998993873596,0.43055999279022217,0.07283200323581696
1000,0,2,64,64,256,0.3500480055809021,0.42793598771095276,0.07196799665689468
1000,0,2,64,64,512,0.5160319805145264,0.49641600251197815,0.0732479989528656
1000,0,2,64,64,1024,0.35180801153182983,0.4312640130519867,0.07260800153017044
1000,0,2,64,64,2048,0.35049599409103394,0.541375994682312,0.08371199667453766
1000,0,2,64,128,64,0.36739200353622437,0.40748798847198486,0.07231999933719635
1000,0,2,64,128,128,0.35158398747444153,0.43862399458885193,0.07273600250482559
1000,0,2,64,128,256,0.36819198727607727,0.4235840141773224,0.07423999905586243
1000,0,2,64,128,512,0.374783992767334,0.4078400135040283,0.0719359964132309
1000,0,2,64,128,1024,0.3457599878311157,0.42291200160980225,0.07248000055551529
1000,0,2,64,128,2048,0.36796799302101135,0.4254400134086609,0.07807999849319458
1000,0,2,64,256,64,0.34703999757766724,0.4294399917125702,0.0719040036201477
1000,0,2,64,256,128,0.3694080114364624,0.40854400396347046,0.07497599720954895
1000,0,2,64,256,256,0.35183998942375183,0.4252159893512726,0.07283200323581696
1000,0,2,64,256,512,0.3548159897327423,0.44841599464416504,0.07462400197982788
1000,0,2,64,256,1024,0.3511680066585541,0.40620800852775574,0.07203199714422226
1000,0,2,64,256,2048,0.3537279963493347,0.42767998576164246,0.09561599791049957
1000,0,2,64,512,64,0.3489919900894165,0.4207040071487427,0.07135999947786331
1000,0,2,64,512,128,0.3510400056838989,0.454367995262146,0.08899199962615967
1000,0,2,64,512,256,0.34883201122283936,0.40908798575401306,0.09145600348711014
1000,0,2,64,512,512,0.34863999485969543,0.4280320107936859,0.07295999675989151
1000,0,2,64,512,1024,0.35420799255371094,0.4318400025367737,0.07795199751853943
1000,0,2,64,512,2048,0.35075199604034424,0.4099520146846771,0.12089599668979645
1000,0,2,64,1024,64,0.3505919873714447,0.42716801166534424,0.07315199822187424
1000,0,2,64,1024,128,0.3527359962463379,0.4060800075531006,0.07344000041484833
1000,0,2,64,1024,256,0.3471679985523224,0.4251520037651062,0.07347200065851212
1000,0,2,64,1024,512,0.3538239896297455,0.4538240134716034,0.07740800082683563
1000,0,2,64,1024,1024,0.3721280097961426,0.4083839952945709,0.09907200187444687
