batch, input_dim, output_dim, total_forward_time(ms), mean_forward_time(ms)
1,64,64,2687.192626953125,0.2687192626953125
1,64,128,2723.824462890625,0.2723824462890625
1,64,256,2744.153564453125,0.2744153564453125
1,64,512,2784.900390625,0.2784900390625
1,64,1024,2705.40478515625,0.270540478515625
1,64,2048,2685.143798828125,0.2685143798828125
1,128,64,2675.625732421875,0.2675625732421875
1,128,128,2674.9482421875,0.26749482421875
1,128,256,2678.0009765625,0.26780009765625
1,128,512,2703.4326171875,0.27034326171875
1,128,1024,2707.321044921875,0.2707321044921875
1,128,2048,2719.10302734375,0.271910302734375
1,256,64,2690.75341796875,0.269075341796875
1,256,128,2686.285400390625,0.2686285400390625
1,256,256,2689.98876953125,0.268998876953125
1,256,512,2746.690185546875,0.2746690185546875
1,256,1024,2739.359375,0.2739359375
1,256,2048,2752.39599609375,0.275239599609375
1,512,64,2717.383544921875,0.2717383544921875
1,512,128,2700.740234375,0.2700740234375
1,512,256,2720.908203125,0.2720908203125
1,512,512,2708.650146484375,0.2708650146484375
1,512,1024,2699.337158203125,0.2699337158203125
1,512,2048,2734.05126953125,0.273405126953125
1,1024,64,2720.303466796875,0.2720303466796875
1,1024,128,2690.109375,0.2690109375
1,1024,256,2691.168212890625,0.2691168212890625
1,1024,512,2682.5126953125,0.26825126953125
1,1024,1024,2704.11376953125,0.270411376953125
1,1024,2048,2753.640380859375,0.2753640380859375
1,2048,64,2732.06982421875,0.273206982421875
1,2048,128,2741.265869140625,0.2741265869140625
1,2048,256,2687.807861328125,0.2687807861328125
1,2048,512,2724.088134765625,0.2724088134765625
1,2048,1024,2738.685302734375,0.2738685302734375
1,2048,2048,2689.558349609375,0.2689558349609375
2,64,64,2689.339599609375,0.2689339599609375
2,64,128,2701.388427734375,0.2701388427734375
2,64,256,2682.96728515625,0.268296728515625
2,64,512,2735.560302734375,0.2735560302734375
2,64,1024,2700.360107421875,0.2700360107421875
2,64,2048,2715.59033203125,0.271559033203125
2,128,64,2700.5947265625,0.27005947265625
2,128,128,2759.37109375,0.275937109375
2,128,256,2746.7412109375,0.27467412109375
2,128,512,2753.877685546875,0.2753877685546875
2,128,1024,2717.3837890625,0.27173837890625
2,128,2048,2753.81298828125,0.275381298828125
2,256,64,2715.30908203125,0.271530908203125
2,256,128,2691.56103515625,0.269156103515625
2,256,256,2720.86767578125,0.272086767578125
2,256,512,2710.994873046875,0.2710994873046875
2,256,1024,2743.85693359375,0.274385693359375
2,256,2048,2752.817138671875,0.2752817138671875
2,512,64,2759.20751953125,0.275920751953125
2,512,128,2718.8017578125,0.27188017578125
2,512,256,2749.462158203125,0.2749462158203125
2,512,512,2752.3994140625,0.27523994140625
2,512,1024,2764.869873046875,0.2764869873046875
2,512,2048,2727.629638671875,0.2727629638671875
2,1024,64,2703.63134765625,0.270363134765625
2,1024,128,2714.27978515625,0.271427978515625
2,1024,256,2729.1669921875,0.27291669921875
2,1024,512,2716.329833984375,0.2716329833984375
2,1024,1024,2727.80126953125,0.272780126953125
2,1024,2048,2721.664794921875,0.2721664794921875
2,2048,64,2708.940185546875,0.2708940185546875
2,2048,128,2751.13232421875,0.275113232421875
2,2048,256,2708.02978515625,0.270802978515625
2,2048,512,2740.070556640625,0.2740070556640625
2,2048,1024,2736.8193359375,0.27368193359375
2,2048,2048,2884.35791015625,0.288435791015625
4,64,64,2729.805908203125,0.2729805908203125
4,64,128,2739.1435546875,0.27391435546875
4,64,256,2714.635009765625,0.2714635009765625
4,64,512,2717.70703125,0.271770703125
4,64,1024,2732.255859375,0.2732255859375
4,64,2048,2733.329833984375,0.2733329833984375
