layer_type,fp16,LR,d_model (encoder_embed_dim),d_ffn (encoder_ffn_embed_dim),n_heads (encoder_attention_heads),d_head (encoder_head_dim),n_layers (encoder_layers),d_model (decoder_embed_dim),d_ffn (decoder_ffn_embed_dim),n_heads (decoder_attention_heads),d_head (decoder_head_dim),n_layers (decoder_layers),Total Params (formula) (no bias or LayerNorm params),dropout,batch size (max-tokens),trainable params (fairseq log),application_id,experiment,BEST_BLEU_VAL_EPOCH_10,BEST_BLEU_VAL_EPOCH_20,BEST_BLEU_VAL_EPOCH_30,BEST_BLEU_VAL_EPOCH_120,BEST_LOSS_VAL_EPOCH_10,BEST_LOSS_VAL_EPOCH_20,BEST_LOSS_VAL_EPOCH_30,BEST_LOSS_VAL_EPOCH_120,BEST_LOSS_TRAIN_EPOCH_10,BEST_LOSS_TRAIN_EPOCH_20,BEST_LOSS_TRAIN_EPOCH_30,BEST_LOSS_TRAIN_EPOCH_-1,philly_compute_tim,epoch 1,epoch 2,epoch 3,epoch 4,epoch 30,Median
baseline,fp16,0.00025,2048,4096,4,512,1,2048,4096,4,512,1,115589120,0.3,2048,run0,1583898264103_228687,50b4d944,27.76000023,30.09000015,30.79999924,30.79999924,4.728000164,4.626999855,4.626999855,4.626999855,4.227000237,3.535000086,3.20600009,2.415999889,?,72.975,72.083,72.767,149.667,67.695,72.77
baseline,fp16,0.00025,2048,4096,4,512,1,2048,4096,4,512,1,115589120,0.3,2048,run1,1583898264103_228682,50b4d944,,,,,,,,,,,,,1:29:38,68.611,67.799,67.781,137.519,,68.21
baseline,fp16,0.00025,2048,4096,4,512,2,2048,4096,4,512,2,199475200,0.3,2048,run0,1583898264103_228685,50b4d944,30.29000092,32.09000015,32.52000046,32.52000046,4.395999908,4.309999943,4.309999943,4.309999943,3.90199995,3.15199995,2.773999929,2.071000099,?,124.15,245.662,120.687,120.305,122.891,122.89
baseline,fp16,0.00025,2048,4096,4,512,2,2048,4096,4,512,2,199475200,0.3,2048,run1,1583898264103_228684,50b4d944,30.44000053,32.18000031,32.45999908,32.45999908,4.396999836,4.313000202,4.313000202,4.313000202,3.78399992,3.101999998,2.746999979,2.072000027,11:49:20,126.581,,368.166,120.637,119.143,123.61
baseline,fp16,0.00025,2048,4096,4,512,3,2048,4096,4,512,3,283361280,0.3,2048,run0,1583898264103_228686,50b4d944,31.12000084,32.61999893,32.61999893,32.65999985,4.255000114,4.186999798,4.186999798,4.186999798,3.618999958,2.802999973,2.444999933,1.950000048,14:44:02,172.97,171.212,343.062,513.907,170.109,172.97
baseline,fp16,0.00025,2048,4096,4,512,3,2048,4096,4,512,3,283361280,0.3,2048,run1,1583898264103_228681,50b4d944,31.22999954,32.65000153,32.65000153,32.65000153,4.257999897,4.18599987,4.18599987,4.18599987,3.746000051,2.907999992,2.499000072,1.94599998,15:35:54,172.674,170.712,350.99,176.797,173.152,173.15
baseline,fp16,0.00025,2048,4096,4,512,4,2048,4096,4,512,4,367247360,0.3,2048,run0,1583898264103_228677,50b4d944,31.96999931,32.81999969,32.81999969,32.81999969,4.151000023,4.125999928,4.125999928,4.125999928,3.469000101,2.654000044,2.295000076,1.988999963,11:37:22,225.775,453.477,676.976,222.461,222.453,225.78
baseline,fp16,0.00025,2048,4096,4,512,4,2048,4096,4,512,4,367247360,0.3,2048,run1,1583898264103_228676,50b4d944,31.88999939,32.77000046,32.77000046,32.81999969,4.15899992,4.120999813,4.120999813,4.120999813,3.471999884,2.607000113,2.276000023,1.889999986,19:07:12,224.858,447.574,222.769,223.482,221.644,223.48
baseline,fp16,0.00025,2048,4096,4,512,5,2048,4096,4,512,5,451133440,0.3,2048,run0,1583898264103_228678,50b4d944,31.17000008,32.93000031,32.93000031,33.00999832,4.164000034,4.087999821,4.087999821,4.087999821,3.502000093,2.575000048,2.200999975,1.85800004,24:43:23,277.669,556.562,276.444,276.112,559.15,277.67
baseline,fp16,0.00025,2048,4096,4,512,5,2048,4096,4,512,5,451133440,0.3,2048,run1,1583898264103_228680,50b4d944,32.08000183,32.90999985,32.90999985,33.04000092,4.087999821,4.081999779,4.081999779,4.081999779,3.246000051,2.469000101,2.154999971,1.856999993,23:00:26,274.737,,547.134,834.415,275.883,411.51
